timea	dac1	dac2	dac3	dac3
9.3900003	-0.005368764	-0.002055625	-0.001726445	-0.005039584
9.4200001	-0.005253983	-0.001970935	-0.001617689	-0.004900737
9.4499998	-0.005245505	-0.002015108	-0.001617869	-0.004848266
9.4799995	-0.005135298	-0.001933254	-0.001513618	-0.004715662
9.5100002	-0.005133518	-0.001983704	-0.001521994	-0.004671807
9.54	-0.005018909	-0.001897742	-0.001414346	-0.004535512
9.5699997	-0.005012367	-0.001944721	-0.001420214	-0.00448786
9.6000004	-0.0051157	-0.002073013	-0.001529059	-0.004571746
9.6300001	-0.004887496	-0.00190467	-0.001318533	-0.004301359
9.6599998	-0.004984384	-0.002027054	-0.001421896	-0.004379226
9.6899996	-0.004969896	-0.002068676	-0.001424157	-0.004325378
9.7200003	-0.004857097	-0.001985967	-0.001321285	-0.004192415
9.75	-0.004815081	-0.001999416	-0.001296744	-0.004112408
9.7799997	-0.004685478	-0.001899271	-0.001177164	-0.003963371
9.8100004	-0.004626924	-0.001893668	-0.001135275	-0.003868531
9.8400002	-0.004492586	-0.0017876	-0.001010572	-0.003715558
9.8699999	-0.004434305	-0.00177872	-0.000967265	-0.00362285
9.8999996	-0.004507832	-0.001873905	-0.001046479	-0.003680405
9.9300003	-0.004259156	-0.001675432	-0.000813862	-0.003397586
9.96	-0.004337474	-0.001772982	-0.000896516	-0.003461008
9.9899998	-0.004308375	-0.001787299	-0.000879724	-0.003400801
10.02	-0.004199709	-0.001701638	-0.000778242	-0.003276313
10.05	-0.004178913	-0.001724105	-0.000770544	-0.003225352
10.08	-0.004079125	-0.001647474	-0.000678552	-0.003110203
10.11	-0.004073609	-0.001685397	-0.000687273	-0.003075485
10.14	-0.003975276	-0.00161064	-0.000597554	-0.00296219
10.17	-0.003973984	-0.00165276	-0.000611448	-0.002932672
10.2	-0.004066133	-0.001765173	-0.000710556	-0.003011516
10.23	-0.00387592	-0.001622143	-0.000539574	-0.00279335
10.26	-0.003962162	-0.001728801	-0.00063371	-0.002867072
10.29	-0.00395266	-0.001763554	-0.000643156	-0.002832262
10.32	-0.003856214	-0.001690369	-0.000557276	-0.00272312
10.35	-0.003835794	-0.001713229	-0.000556365	-0.00267893
10.38	-0.003739479	-0.001639402	-0.000470598	-0.002570675
10.41	-0.003720789	-0.001661459	-0.000470318	-0.002529648
10.44	-0.003621828	-0.001583652	-0.000381211	-0.002419387
10.47	-0.00360303	-0.001602133	-0.000378582	-0.00237948
10.5	-0.003679309	-0.00169663	-0.000462777	-0.002445456
10.53	-0.003490761	-0.001547202	-0.000291833	-0.002235391
10.56	-0.003565382	-0.001640596	-0.000374845	-0.002299631
10.59	-0.00355239	-0.00166599	-0.000379256	-0.002265656
10.62	-0.00346366	-0.001597529	-0.000300068	-0.002166199
10.65	-0.00344966	-0.001622766	-0.000304504	-0.002131398
10.68	-0.00336511	-0.001558664	-0.000229917	-0.002036363
10.71	-0.003358782	-0.001591643	-0.000242766	-0.002009905
10.74	-0.00327392	-0.001527169	-0.000168247	-0.001914998
10.77	-0.00326936	-0.001561259	-0.00018326	-0.00189136
10.8	-0.003346346	-0.001656211	-0.000269272	-0.001959408
10.83	-0.003184413	-0.001533661	-0.000128615	-0.001779367
10.86	-0.003258975	-0.001625138	-0.000211938	-0.001845775
10.89	-0.003256158	-0.001657693	-0.000228465	-0.00182693
10.92	-0.003178056	-0.001597784	-0.00016071	-0.001740982
10.95	-0.003170546	-0.001623535	-0.000171968	-0.001718979
10.98	-0.003094279	-0.001564704	-0.000105992	-0.001635567
11.01	-0.003089408	-0.001593253	-0.000121092	-0.001617246
11.04	-0.003010734	-0.001532672	-5.38E-05	-0.001531822
11.07	-0.003003878	-0.001560735	-6.90E-05	-0.001512151
11.1	-0.003072786	-0.001646619	-0.000148795	-0.001574962
11.13	-0.002919764	-0.001531594	-2.11E-05	-0.001409238
11.16	-0.002986303	-0.00161531	-9.89E-05	-0.001469897
11.19	-0.002980514	-0.001645627	-0.000117377	-0.001452264
11.22	-0.00290785	-0.001591384	-5.72E-05	-0.001373662
11.25	-0.002900975	-0.001618815	-7.33E-05	-0.001355482
11.28	-0.002832121	-0.00156718	-1.60E-05	-0.00128097
11.31	-0.002833168	-0.001599226	-3.74E-05	-0.001271308
11.34	-0.002765126	-0.001546733	2.05E-05	-0.001197889
11.37	-0.002769678	-0.001578304	-9.19E-07	-0.001192294
11.4	-0.002838634	-0.001659004	-7.68E-05	-0.001256451
11.43	-0.002708679	-0.001554019	3.81E-05	-0.001116562
11.46	-0.002774602	-0.001629438	-3.28E-05	-0.001177938
11.49	-0.002776154	-0.001651829	-4.58E-05	-0.001170158
11.52	-0.002711182	-0.001597933	1.28E-05	-0.001100441
11.55	-0.002704375	-0.001612853	7.12E-06	-0.001084404
11.58	-0.002638897	-0.001559238	6.54E-05	-0.001014228
11.61	-0.002631327	-0.001575077	5.87E-05	-0.000997509
11.64	-0.002562694	-0.001519295	0.000119184	-0.000924216
11.67	-0.002552111	-0.001533412	0.000114102	-0.000904597
11.7	-0.002607913	-0.001601105	5.08E-05	-0.000956029
11.73	-0.002473791	-0.001492831	0.000168073	-0.000812887
11.76	-0.002527856	-0.001558257	0.000106911	-0.000862688
11.79	-0.002519029	-0.001572388	0.000101358	-0.000845282
