time ,thrust [N],mdot [kg]
0.3874845,52197.338,22.672348145981
0.3883178,52226.756,22.6851260990973
0.3891511,52177.726,22.6638295105701
0.3899844,52118.89,22.6382736043376
0.3908177,52109.084,22.6340142866322
0.391651,52079.666,22.6212363335159
0.3924843,52030.636,22.5999397449888
0.3933176,51952.188,22.5658652033453
0.3941509,51932.576,22.5573465679345
0.3949842,51961.994,22.5701245210508
0.3958175,51981.606,22.5786431564616
0.3966508,51961.994,22.5701245210508
0.3974841,52011.024,22.5914211095779
0.3983174,52089.472,22.6254956512213
0.3991507,52128.696,22.642532922043
0.399984,52118.89,22.6382736043376
0.4008173,52167.92,22.6595701928647
0.4016506,52246.368,22.6936447345081
0.4024839,52246.368,22.6936447345081
0.4033172,52197.338,22.672348145981
0.4041505,52138.502,22.6467922397484
0.4049838,52069.86,22.6169770158105
0.4058171,52011.024,22.5914211095779
0.4066504,51981.606,22.5786431564616
0.4074837,51932.576,22.5573465679345
0.408317,51922.77,22.5530872502291
0.4091503,51932.576,22.5573465679345
0.4099836,51952.188,22.5658652033453
0.4108169,51991.412,22.5829024741671
0.4116502,52030.636,22.5999397449888
0.4124835,52099.278,22.6297549689267
0.4133168,52148.308,22.6510515574539
0.4141501,52177.726,22.6638295105701
0.4149834,52236.562,22.6893854168027
0.4158167,52265.98,22.702163369919
0.41665,52236.562,22.6893854168027
0.4174833,52197.338,22.672348145981
0.4183166,52207.144,22.6766074636864
0.4191499,52216.95,22.6808667813918
0.4199832,52167.92,22.6595701928647
0.4208165,52109.084,22.6340142866322
0.4216498,52118.89,22.6382736043376
0.4224831,52109.084,22.6340142866322
0.4233164,52050.248,22.6084583803996
0.4241497,52011.024,22.5914211095779
0.424983,52060.054,22.612717698105
0.4258163,52138.502,22.6467922397484
0.4266496,52148.308,22.6510515574539
0.4274829,52138.502,22.6467922397484
0.4283162,52197.338,22.672348145981
0.4291495,52285.592,22.7106820053298
0.4299828,52324.816,22.7277192761515
0.4308161,52315.01,22.7234599584461
0.4316494,52305.204,22.7192006407407
0.4324827,52275.786,22.7064226876244
0.433316,52207.144,22.6766074636864
0.4341493,52158.114,22.6553108751593
0.4349826,52148.308,22.6510515574539
0.4358159,52138.502,22.6467922397484
0.4366492,52118.89,22.6382736043376
0.4374825,52128.696,22.642532922043
0.4383158,52158.114,22.6553108751593
0.4391491,52226.756,22.6851260990973
0.4399824,52265.98,22.702163369919
0.4408157,52275.786,22.7064226876244
0.441649,52334.622,22.731978593857
0.4424823,52354.234,22.7404972292678
0.4433156,52305.204,22.7192006407407
0.4441489,52285.592,22.7106820053298
0.4449822,52246.368,22.6936447345081
0.4458155,52207.144,22.6766074636864
0.4466488,52167.92,22.6595701928647
0.4474821,52128.696,22.642532922043
0.4483154,52158.114,22.6553108751593
0.4491487,52167.92,22.6595701928647
0.449982,52158.114,22.6553108751593
0.4508153,52197.338,22.672348145981
0.4516486,52275.786,22.7064226876244
0.4524819,52256.174,22.6979040522135
0.4533152,52246.368,22.6936447345081
0.4541485,52226.756,22.6851260990973
0.4549818,52275.786,22.7064226876244
0.4558151,52324.816,22.7277192761515
0.4566484,52305.204,22.7192006407407
0.4574817,52275.786,22.7064226876244
0.458315,52275.786,22.7064226876244
0.4591483,52305.204,22.7192006407407
0.4599816,52344.428,22.7362379115624
0.4608149,52364.04,22.7447565469732
0.4616482,52383.652,22.7532751823841
0.4624815,52364.04,22.7447565469732
0.4633148,52344.428,22.7362379115624
0.4641481,52383.652,22.7532751823841
0.4649814,52413.07,22.7660531355004
0.4658147,52364.04,22.7447565469732
0.466648,52315.01,22.7234599584461
0.4674813,52265.98,22.702163369919
0.4683146,52226.756,22.6851260990973
0.4691479,52216.95,22.6808667813918
0.4699812,52207.144,22.6766074636864
0.4708145,52207.144,22.6766074636864
0.4716478,52236.562,22.6893854168027
0.4724811,52295.398,22.7149413230353
0.4733144,52305.204,22.7192006407407
0.4741477,52354.234,22.7404972292678
0.474981,52442.488,22.7788310886166
0.4758143,52481.712,22.7958683594383
0.4766476,52501.324,22.8043869948492
0.4774809,52491.518,22.8001276771438
0.4783142,52501.324,22.8043869948492
0.4791475,52471.906,22.7916090417329
0.4799808,52393.458,22.7575345000895
0.4808141,52324.816,22.7277192761515
0.4816474,52315.01,22.7234599584461
0.4824807,52315.01,22.7234599584461
0.483314,52246.368,22.6936447345081
0.4841473,52207.144,22.6766074636864
0.4849806,52246.368,22.6936447345081
0.4858139,52295.398,22.7149413230353
0.4866472,52315.01,22.7234599584461
0.4874805,52295.398,22.7149413230353
0.4883138,52344.428,22.7362379115624
0.4891471,52413.07,22.7660531355004
0.4899804,52462.1,22.7873497240275
