Mach,alpha_deg,def_pitch,Cnd,Cmd
5.0,16.0,-8.0,1.1315916453833752,-3.401936908589263
5.0,20.0,-8.0,1.2175353146530004,-3.6740918612764033
0.3,0.0,-4.0,4.884465203490269,-13.937198366557274
0.3,2.0,-4.0,4.827169423977186,-13.765311028018028
0.3,4.0,-4.0,4.956084927881621,-14.123409649974793
0.3,8.0,-4.0,5.285535660081844,-15.04014212218411
0.3,12.0,-4.0,5.3858032742297395,-15.326621019749519
0.3,16.0,-4.0,4.870141258611995,-13.851254697287649
0.3,20.0,-4.0,3.810169337619975,-10.814578383094286
0.5,0.0,-4.0,5.0133807073947025,-14.280973043635768
0.5,2.0,-4.0,4.956084927881621,-14.137733594853064
0.5,4.0,-4.0,5.070676486907786,-14.467184327053287
0.5,8.0,-4.0,5.371479329351466,-15.283649185114712
0.5,12.0,-4.0,5.414451163986281,-15.441212578775684
0.5,16.0,-4.0,4.812845479098916,-13.708015248504944
0.5,20.0,-4.0,3.566662274689376,-10.18432480845038
0.8,0.0,-4.0,5.228239880568761,-14.911226618279674
0.8,2.0,-4.0,5.213915935690492,-14.868254783644863
0.8,4.0,-4.0,5.285535660081844,-15.068790011940651
0.8,8.0,-4.0,5.428775108864548,-15.45553652365396
0.8,12.0,-4.0,5.4001272191080085,-15.412564689019145
0.8,16.0,-4.0,4.841493368855457,-13.793958917774571
0.8,20.0,-4.0,3.709901723472079,-10.556747375285413
1.2,0.0,-4.0,5.514718778134173,-16.443888720254623
1.2,2.0,-4.0,5.514718778134173,-16.458212665132898
1.2,4.0,-4.0,5.543366667890715,-16.57280422415906
1.2,8.0,-4.0,5.5863385025255266,-16.701719728063495
1.2,12.0,-4.0,5.557690612768984,-16.601452113915602
1.2,16.0,-4.0,5.34283143959493,-15.942550649515159
1.2,20.0,-4.0,4.913113093246809,-14.682043500227344
2.0,0.0,-4.0,2.6499298024800573,-7.964113352318443
2.0,2.0,-4.0,2.6069579678452457,-7.849521793292278
2.0,4.0,-4.0,2.6929016371148693,-8.093028856222878
2.0,8.0,-4.0,2.850465030775845,-8.551395092327537
2.0,12.0,-4.0,2.8791129205323847,-8.6659866513537
2.0,16.0,-4.0,2.8504650307758435,-8.608690871840619
2.0,20.0,-4.0,2.8504650307758497,-8.565719037205806
3.0,0.0,-4.0,1.6186057712445756,-4.855817313733727
3.0,2.0,-4.0,1.6042818263663052,-4.855817313733726
3.0,4.0,-4.0,1.6329297161228455,-4.898789148368539
3.0,8.0,-4.0,1.6902254956359284,-5.099324376664327
3.0,12.0,-4.0,1.7618452200272845,-5.285535660081844
3.0,16.0,-4.0,1.7618452200272814,-5.285535660081844
3.0,20.0,-4.0,1.7618452200272845,-5.314183549838385
4.0,0.0,-4.0,1.1745634800181877,-3.509366495176292
4.0,2.0,-4.0,1.1602395351399173,-3.4950425502980216
4.0,4.0,-4.0,1.1745634800181874,-3.538014384932833
4.0,8.0,-4.0,1.24618320440954,-3.7528735581068924
4.0,12.0,-4.0,1.3178029288008946,-3.967732731280951
4.0,16.0,-4.0,1.4037465980705182,-4.225563739089821
4.0,20.0,-4.0,1.5040142122184106,-4.512042636655233
5.0,0.0,-4.0,0.9167324722093172,-2.764521361506222
5.0,2.0,-4.0,0.9167324722093172,-2.7501974166279517
5.0,4.0,-4.0,0.9310564170875878,-2.7931692512627633
5.0,8.0,-4.0,1.0170000863572122,-3.0653242039499045
5.0,12.0,-4.0,1.102943755626834,-3.323155211758775
5.0,16.0,-4.0,1.2032113697747266,-3.6239580542024576
5.0,20.0,-4.0,1.2891550390443534,-3.8817890620113267
0.3,0.0,-2.0,4.8128454790989155,-13.750987083139757
0.3,2.0,-2.0,4.841493368855456,-13.808282862652838
0.3,4.0,-2.0,5.042028597151246,-14.352592768027122
0.3,8.0,-2.0,5.328507494716657,-15.183381570966816
0.3,12.0,-2.0,5.299859604960116,-15.126085791453727
0.3,16.0,-2.0,4.669606030316204,-13.292620847035097
0.3,20.0,-2.0,3.3231552117587775,-9.367859950388958
0.5,0.0,-2.0,4.95608492788162,-14.123409649974793
0.5,2.0,-2.0,4.956084927881621,-14.180705429487874
0.5,4.0,-2.0,5.156620156177411,-14.696367445105619
0.5,8.0,-2.0,5.414451163986278,-15.412564689019145
0.5,12.0,-2.0,5.328507494716654,-15.18338157096681
0.5,16.0,-2.0,4.6123102508031275,-13.092085618739306
0.5,20.0,-2.0,3.008028424436821,-8.594366926962342
0.8,0.0,-2.0,5.213915935690491,-14.839606893888321
0.8,2.0,-2.0,5.213915935690492,-14.896902673401405
